Title,Down_link,resource-type,w-100,topic-link,topic-link 2,topic-link 3
1b89e9613cb702ccc54604567974894f_MIT2_96F12_lec07.pdf,https://ocw.mit.edu/courses/2-96-management-in-engineering-fall-2012/1b89e9613cb702ccc54604567974894f_MIT2_96F12_lec07.pdf,2.96 | Undergraduate,Management in Engineering,Entrepreneurship,Business,Project Management
de0ae049ec78229eeea82bd049366618_MIT2_96F12_lec19.pdf,https://ocw.mit.edu/courses/2-96-management-in-engineering-fall-2012/de0ae049ec78229eeea82bd049366618_MIT2_96F12_lec19.pdf,2.96 | Undergraduate,Management in Engineering,Entrepreneurship,Business,Project Management
97df2b384ef1f1f3cfef8298f10d59f8_MIT2_96F12_lec01.pdf,https://ocw.mit.edu/courses/2-96-management-in-engineering-fall-2012/97df2b384ef1f1f3cfef8298f10d59f8_MIT2_96F12_lec01.pdf,2.96 | Undergraduate,Management in Engineering,Entrepreneurship,Business,Project Management
223fdaa1fdaae37985135fda52f3dd96_MIT2_96F12_lec20.pdf,https://ocw.mit.edu/courses/2-96-management-in-engineering-fall-2012/223fdaa1fdaae37985135fda52f3dd96_MIT2_96F12_lec20.pdf,2.96 | Undergraduate,Management in Engineering,Entrepreneurship,Business,Project Management
0e1d0e2c4e20a482ccffbee2c6ae3217_MIT2_96F12_read01.pdf,https://ocw.mit.edu/courses/2-96-management-in-engineering-fall-2012/0e1d0e2c4e20a482ccffbee2c6ae3217_MIT2_96F12_read01.pdf,2.96 | Undergraduate,Management in Engineering,Entrepreneurship,Business,Project Management
7fb9d1b982b7bdd070b664d1fcd2d5ce_ps1_sol.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/7fb9d1b982b7bdd070b664d1fcd2d5ce_ps1_sol.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
9016d410e91fbdccef6e033099bf6563_ps1.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/9016d410e91fbdccef6e033099bf6563_ps1.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
0bcdd204fcba8dc4a2b1c1e8cf1d5cf7_ps2_sol.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/0bcdd204fcba8dc4a2b1c1e8cf1d5cf7_ps2_sol.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
a5ba7cb998764b09a25171b25e365b37_ps2.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/a5ba7cb998764b09a25171b25e365b37_ps2.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
d25c7cd5ac3d4a763351aef4a35004b6_ps3_sol.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/d25c7cd5ac3d4a763351aef4a35004b6_ps3_sol.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
7945987a69f76c34c2b9c63f104695c0_ps3.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/7945987a69f76c34c2b9c63f104695c0_ps3.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
8b77b55e708d5c0115a4e2c488bbe8ac_ps4_sol.pdf,https://ocw.mit.edu/courses/3-051j-materials-for-biomedical-applications-spring-2006/8b77b55e708d5c0115a4e2c488bbe8ac_ps4_sol.pdf,3.051J | Undergraduate,Materials for Biomedical Applications,Engineering,Biological Engineering,Materials Science and Engineering
